"lang"
{
  "Language"    "English"
    
    "DOTA_Tooltip_ability_item_coal_three_bow_doubled"          "Double Coal Cannon"
    "DOTA_Tooltip_ability_item_coal_three_bow_doubled_Description"    "<h1>Weapon: Coal Level 3</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Shots fired by this weapon have a %stun_pct%%% chance to stun the target for %stun_dur% seconds."
    "DOTA_Tooltip_ability_item_coal_three_bow_doubled_fire_rate"    "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_coal_three_bow_doubled_dmg"        "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_coal_three_bow_doubled_range"      "RANGE:"
    "DOTA_Tooltip_ability_item_coal_three_bow_doubled_dps"        "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    

    "DOTA_Tooltip_ability_item_coal_ult_bow"              "Darkness"
    "DOTA_Tooltip_ability_item_coal_ult_bow_Description"            "<h1>Weapon: Ultimate Coal</h1>Shots fired by this weapon have a %stun_pct%%% chance to stun the target for %stun_dur% seconds."
    "DOTA_Tooltip_ability_item_coal_ult_bow_fire_rate"          "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_coal_ult_bow_dmg"            "DAMAGE/4:"
    "DOTA_Tooltip_ability_item_coal_ult_bow_range"            "RANGE:"
    "DOTA_Tooltip_ability_item_coal_ult_bow_dps"            "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_coal_ult_bow_Lore"           "Embrace it."
    
    "DOTA_Tooltip_ability_item_coal_ult_bow_rec"            "Darkness"
    "DOTA_Tooltip_ability_item_coal_ult_bow_rec_Description"      "<h1>Weapon: Ultimate Coal</h1>Shots fired by this weapon have a %stun_pct%%% chance to stun the target for %stun_dur% seconds."
    "DOTA_Tooltip_ability_item_coal_ult_bow_rec_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_coal_ult_bow_rec_dmg"          "DAMAGE:"
    "DOTA_Tooltip_ability_item_coal_ult_bow_rec_range"          "RANGE:"
    "DOTA_Tooltip_ability_item_coal_ult_bow_rec_dps"          "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_coal_ult_bow_rec_Lore"         "Embrace it."
    


    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0111---PLASMA-------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_plasma_bow"                "Plasma Gun"
    "DOTA_Tooltip_ability_item_plasma_bow_Description"              "<h1>Weapon: Plasma Level 1</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Reduces target's armor by %armor_down% for %armor_dur% seconds."
    "DOTA_Tooltip_ability_item_plasma_bow_Note0"            "Multiple hits extend duration, not increase armor lost."
    "DOTA_Tooltip_ability_item_plasma_bow_Note1"            "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_plasma_bow_fire_rate"          "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_plasma_bow_dmg"              "DAMAGE:"
    "DOTA_Tooltip_ability_item_plasma_bow_range"            "RANGE:"
    "DOTA_Tooltip_ability_item_plasma_bow_dps"              "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    

    "DOTA_Tooltip_ability_item_plasma_bow_doubled"            "Double Plasma Gun"
    "DOTA_Tooltip_ability_item_plasma_bow_doubled_Description"      "<h1>Weapon: Plasma Level 1</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Reduces target's armor by %armor_down% for %armor_dur% seconds."
    "DOTA_Tooltip_ability_item_plasma_bow_doubled_Note0"        "Multiple hits extend duration, not increase armor lost."
    "DOTA_Tooltip_ability_item_plasma_bow_doubled_fire_rate"      "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_plasma_bow_doubled_dmg"          "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_plasma_bow_doubled_range"        "RANGE:"
    "DOTA_Tooltip_ability_item_plasma_bow_doubled_dps"          "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    
    
    "DOTA_Tooltip_ability_item_plasma_two_bow"              "Railgun"
    "DOTA_Tooltip_ability_item_plasma_two_bow_Description"            "<h1>Weapon: Plasma Level 2</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Reduces target's armor by %armor_down% for %armor_dur% seconds."
    "DOTA_Tooltip_ability_item_plasma_two_bow_Note0"          "Multiple hits extend duration, not increase armor lost."
    "DOTA_Tooltip_ability_item_plasma_two_bow_Note1"          "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_plasma_two_bow_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_plasma_two_bow_dmg"            "DAMAGE:"
    "DOTA_Tooltip_ability_item_plasma_two_bow_range"          "RANGE:"
    "DOTA_Tooltip_ability_item_plasma_two_bow_dps"            "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    
    "DOTA_Tooltip_ability_item_plasma_two_bow_doubled"          "Double Railgun"
    "DOTA_Tooltip_ability_item_plasma_two_bow_doubled_Description"    "<h1>Weapon: Plasma Level 2</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Reduces target's armor by %armor_down% for %armor_dur% seconds."
    "DOTA_Tooltip_ability_item_plasma_two_bow_doubled_Note0"      "Multiple hits extend duration, not increase armor lost."
    "DOTA_Tooltip_ability_item_plasma_two_bow_doubled_fire_rate"    "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_plasma_two_bow_doubled_dmg"        "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_plasma_two_bow_doubled_range"      "RANGE:"
    "DOTA_Tooltip_ability_item_plasma_two_bow_doubled_dps"        "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    

    "DOTA_Tooltip_ability_item_plasma_three_bow"            "Ion Cannon"
    "DOTA_Tooltip_ability_item_plasma_three_bow_Description"          "<h1>Weapon: Plasma Level 3</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Reduces target's armor by %armor_down% for %armor_dur% seconds."
    "DOTA_Tooltip_ability_item_plasma_three_bow_Note0"          "Multiple hits extend duration, not increase armor lost."
    "DOTA_Tooltip_ability_item_plasma_three_bow_Note1"          "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_plasma_three_bow_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_plasma_three_bow_dmg"          "DAMAGE:"
    "DOTA_Tooltip_ability_item_plasma_three_bow_range"          "RANGE:"
    "DOTA_Tooltip_ability_item_plasma_three_bow_dps"          "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    
    "DOTA_Tooltip_ability_item_plasma_three_bow_doubled"        "Double Ion Cannon"
    "DOTA_Tooltip_ability_item_plasma_three_bow_doubled_Description"  "<h1>Weapon: Plasma Level 3</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Reduces target's armor by %armor_down% for %armor_dur% seconds."
    "DOTA_Tooltip_ability_item_plasma_three_bow_doubled_Note0"      "Multiple hits extend duration, not increase armor lost."
    "DOTA_Tooltip_ability_item_plasma_three_bow_doubled_fire_rate"    "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_plasma_three_bow_doubled_dmg"      "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_plasma_three_bow_doubled_range"      "RANGE:"
    "DOTA_Tooltip_ability_item_plasma_three_bow_doubled_dps"      "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    

    "DOTA_Tooltip_ability_item_plasma_ult_bow"              "Disintegrator"
    "DOTA_Tooltip_ability_item_plasma_ult_bow_Description"            "<h1>Weapon: Ultimate Plasma</h1>Reduces target's armor by %armor_down% for %armor_dur% seconds."
    "DOTA_Tooltip_ability_item_plasma_ult_bow_Note0"          "Multiple hits extend duration, not increase armor lost."
    "DOTA_Tooltip_ability_item_plasma_ult_bow_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_plasma_ult_bow_dmg"            "DAMAGE/4:"
    "DOTA_Tooltip_ability_item_plasma_ult_bow_range"          "RANGE:"
    "DOTA_Tooltip_ability_item_plasma_ult_bow_dps"            "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_plasma_ult_bow_Lore"           "Pirates, not known for their aptitude in math, favor this weapon over its counterpart, the Integrator."
    
    "DOTA_Tooltip_ability_item_plasma_ult_bow_rec"            "Disintegrator"
    "DOTA_Tooltip_ability_item_plasma_ult_bow_rec_Description"      "<h1>Weapon: Ultimate Plasma</h1>Reduces target's armor by %armor_down% for %armor_dur% seconds."
    "DOTA_Tooltip_ability_item_plasma_ult_bow_rec_Note0"        "Multiple hits extend duration, not increase armor lost."
    "DOTA_Tooltip_ability_item_plasma_ult_bow_rec_fire_rate"      "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_plasma_ult_bow_rec_dmg"          "DAMAGE:"
    "DOTA_Tooltip_ability_item_plasma_ult_bow_rec_range"        "RANGE:"
    "DOTA_Tooltip_ability_item_plasma_ult_bow_rec_dps"          "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_plasma_ult_bow_rec_Lore"         "Pirates, not known for their aptitude in math, favor this weapon over its counterpart, the Integrator."

    

    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0112---CHAOS--------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_chaos_bow"               "Unstable Cannon"
    "DOTA_Tooltip_ability_item_chaos_bow_Description"             "<h1>Weapon: Chaos Level 1</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Shots do between -0.5 and 2.5 x Damage listed"
    "DOTA_Tooltip_ability_item_chaos_bow_Note1"             "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_chaos_bow_dmg"             "BASE DAMAGE:"
    "DOTA_Tooltip_ability_item_chaos_bow_fire_rate"           "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_chaos_bow_range"             "RANGE:"
    "DOTA_Tooltip_ability_item_chaos_bow_dps"             "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    "DOTA_Tooltip_ability_item_chaos_bow_doubled"           "Double Unstable Cannon"
    "DOTA_Tooltip_ability_item_chaos_bow_doubled_Description"     "<h1>Weapon: Chaos Level 1</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Shots do between -0.5 and 2.5 x Damage listed"
    "DOTA_Tooltip_ability_item_chaos_bow_doubled_dmg"         "BASE DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_chaos_bow_doubled_fire_rate"       "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_chaos_bow_doubled_range"         "RANGE:"
    "DOTA_Tooltip_ability_item_chaos_bow_doubled_dps"         "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    

    "DOTA_Tooltip_ability_item_chaos_two_bow"             "Chaos Magnum"
    "DOTA_Tooltip_ability_item_chaos_two_bow_Description"           "<h1>Weapon: Chaos Level 2</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Shots do between -0.5 and 2.5 x Damage listed"
    "DOTA_Tooltip_ability_item_chaos_two_bow_Note1"           "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_chaos_two_bow_dmg"           "BASE DAMAGE:"
    "DOTA_Tooltip_ability_item_chaos_two_bow_fire_rate"         "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_chaos_two_bow_range"           "RANGE:"
    "DOTA_Tooltip_ability_item_chaos_two_bow_dps"           "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    "DOTA_Tooltip_ability_item_chaos_two_bow_doubled"         "Double Chaos Magnum"
    "DOTA_Tooltip_ability_item_chaos_two_bow_doubled_Description"   "<h1>Weapon: Chaos Level 2</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Shots do between -0.5 and 2.5 x Damage listed"
    "DOTA_Tooltip_ability_item_chaos_two_bow_doubled_dmg"       "BASE DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_chaos_two_bow_doubled_fire_rate"     "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_chaos_two_bow_doubled_range"       "RANGE:"
    "DOTA_Tooltip_ability_item_chaos_two_bow_doubled_dps"       "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    

    "DOTA_Tooltip_ability_item_chaos_three_bow"             "Entropy Ray"
    "DOTA_Tooltip_ability_item_chaos_three_bow_Description"           "<h1>Weapon: Chaos Level 3</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Shots do between -0.5 and 2.5 x Damage listed"
    "DOTA_Tooltip_ability_item_chaos_three_bow_Note1"         "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_chaos_three_bow_dmg"           "BASE DAMAGE:"
    "DOTA_Tooltip_ability_item_chaos_three_bow_fire_rate"       "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_chaos_three_bow_range"         "RANGE:"
    "DOTA_Tooltip_ability_item_chaos_three_bow_dps"           "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    "DOTA_Tooltip_ability_item_chaos_three_bow_doubled"         "Double Entropy Ray"
    "DOTA_Tooltip_ability_item_chaos_three_bow_doubled_Description"   "<h1>Weapon: Chaos Level 3</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Shots do between -0.5 and 2.5 x Damage listed"
    "DOTA_Tooltip_ability_item_chaos_three_bow_doubled_dmg"       "BASE DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_chaos_three_bow_doubled_fire_rate"   "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_chaos_three_bow_doubled_range"     "RANGE:"
    "DOTA_Tooltip_ability_item_chaos_three_bow_doubled_dps"       "\n<font  size= '3' color='#cc6400'>DPS:</font>"  

    
    "DOTA_Tooltip_ability_item_chaos_ult_bow"             "The 5th Horseman"
    "DOTA_Tooltip_ability_item_chaos_ult_bow_Description"           "<h1>Weapon: Ultimate Chaos</h1>Shots do between -0.5 and 2.5 x Damage listed"
    "DOTA_Tooltip_ability_item_chaos_ult_bow_rec_dmg"         "BASE DAMAGE:"
    "DOTA_Tooltip_ability_item_chaos_ult_bow_fire_rate"         "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_chaos_ult_bow_range"           "RANGE:"
    "DOTA_Tooltip_ability_item_chaos_ult_bow_dps"           "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_chaos_ult_bow_Lore"            "Guaranteed to show up in every apocalypse 20% of the time."

    "DOTA_Tooltip_ability_item_chaos_ult_bow_rec"           "The 5th Horseman"
    "DOTA_Tooltip_ability_item_chaos_ult_bow_rec_Description"     "<h1>Weapon: Ultimate Chaos</h1>Shots do between -0.5 and 2.5 x Damage listed" 
    "DOTA_Tooltip_ability_item_chaos_ult_bow_rec_dmg"         "BASE DAMAGE:"
    "DOTA_Tooltip_ability_item_chaos_ult_bow_rec_fire_rate"       "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_chaos_ult_bow_rec_range"         "RANGE:"  
    "DOTA_Tooltip_ability_item_chaos_ult_bow_rec_dps"         "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    "DOTA_Tooltip_ability_item_chaos_ult_bow_rec_Lore"          "Guaranteed to show up in every apocalypse 20% of the time."

    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0113---STARTING LINE------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_hull_sail_one_combo_bow"           "Hand Of the Empire"
    "DOTA_Tooltip_ability_item_hull_sail_one_combo_bow_Description"     "A starter kit awarded by the empire to captains who show promise. \nDoes not stack with hulls or sails."
    
    "DOTA_Tooltip_modifier_item_hull_one"                   "Hand Of the Empire"
    "DOTA_Tooltip_modifier_item_hull_one_Description"             "A starter kit awarded by the empire to captains who show promise."
    
    "DOTA_Tooltip_ability_item_hull_sail_one_combo_bow_bonus_movement"    "MOVE SPEED:"
    "DOTA_Tooltip_ability_item_hull_sail_one_combo_bow_bonus_hp"      "HP BONUS:"
    "DOTA_Tooltip_ability_item_hull_sail_one_combo_bow_dmg"         "DAMAGE:"
    "DOTA_Tooltip_ability_item_hull_sail_one_combo_bow_fire_rate"     "RELOAD DELAY (s):"
    
    
    //=============================================
    //x02----UTILITY ITEMS-------------------------
    //=============================================

    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0201---SAILS--------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_sail_one"            "Tattered Sail"
    "DOTA_Tooltip_ability_item_sail_one_Description" "Active doubles speed bonus for 4 seconds."
    "DOTA_Tooltip_ability_item_sail_one_bonus_movement"     "SPEED BOOST:"
    "DOTA_Tooltip_ability_item_sail_one_Note0"          "Does not stack with other sails."
    "DOTA_Tooltip_ability_item_sail_one_Lore"         "Stitched together from the sailors' undergarments."
    
    "DOTA_Tooltip_ability_item_sail_two"            "Canvas Sail"
    "DOTA_Tooltip_ability_item_sail_two_Description" "Active doubles speed bonus for 4 seconds."
    "DOTA_Tooltip_ability_item_sail_two_bonus_movement"     "SPEED BOOST:"
    "DOTA_Tooltip_ability_item_sail_two_Note0"          "Does not stack with other sails."
    "DOTA_Tooltip_ability_item_sail_two_Lore"         "A sail made from heavy canvas."
    
    "DOTA_Tooltip_ability_item_sail_three"            "Carbon Fiber Sail:"
    "DOTA_Tooltip_ability_item_sail_three_Description" "Active doubles speed bonus for 4 seconds."
    "DOTA_Tooltip_ability_item_sail_three_Note0"        "Does not stack with other sails."
    "DOTA_Tooltip_ability_item_sail_three_bonus_movement"     "SPEED BOOST"
    "DOTA_Tooltip_ability_item_sail_three_Lore"         "A reliable, hi-tech sail."
    
    "DOTA_Tooltip_ability_item_sail_four"           "Admiral's Sail"
    "DOTA_Tooltip_ability_item_sail_four_Description" "Active doubles speed bonus for 4 seconds."
    "DOTA_Tooltip_ability_item_sail_four_Note0"         "Does not stack with other sails."
    "DOTA_Tooltip_ability_item_sail_four_bonus_movement"    "SPEED BOOST:"
    "DOTA_Tooltip_ability_item_sail_four_Lore"          "An enchanted sail given to fleet admirals."


    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0202---HULLS--------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_hull_one"            "Battered Hull"
    "DOTA_Tooltip_ability_item_hull_one_Note0"          "Does not stack with other hulls. Active doubles armor bonus"
    "DOTA_Tooltip_ability_item_hull_one_bonus_hp"         "BONUS HP:"
    "DOTA_Tooltip_ability_item_hull_one_bonus_armor"      "ARMOR:"
    "DOTA_Tooltip_ability_item_hull_one_Lore"         "These shivered timbers only give a minor durability boost."
    
    "DOTA_Tooltip_ability_item_hull_two"            "Wooden Hull"
    "DOTA_Tooltip_ability_item_hull_two_Note0"          "Does not stack with other hulls. Active doubles armor bonus"
    "DOTA_Tooltip_ability_item_hull_two_bonus_hp"         "BONUS HP:"
    "DOTA_Tooltip_ability_item_hull_two_bonus_armor"      "ARMOR:"
    "DOTA_Tooltip_ability_item_hull_two_Lore"         "Sturdier wooden hull reinforcements."
    
    "DOTA_Tooltip_ability_item_hull_three"            "Iron Hull"
    "DOTA_Tooltip_ability_item_hull_three_Note0"        "Does not stack with other hulls. Active doubles armor bonus"
    "DOTA_Tooltip_ability_item_hull_three_bonus_hp"       "BONUS HP:"
    "DOTA_Tooltip_ability_item_hull_three_bonus_armor"      "ARMOR:"
    "DOTA_Tooltip_ability_item_hull_three_Lore"         "Heavy solid iron reinforcements."
    
    "DOTA_Tooltip_ability_item_hull_four"           "Admiral's Hull"
    "DOTA_Tooltip_ability_item_hull_four_Note0"         "Does not stack with other hulls. Active doubles armor bonus"
    "DOTA_Tooltip_ability_item_hull_four_bonus_hp"        "BONUS HP:"
    "DOTA_Tooltip_ability_item_hull_four_bonus_armor"       "ARMOR:"
    "DOTA_Tooltip_ability_item_hull_four_Lore"          "Magicked reinforcements fit for the leader of a fleet."
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0204---WOOD---------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_wood_one"            "Rotting Repair Wood"
    "DOTA_Tooltip_ability_item_wood_one_Description"      "<h1>Active: Repair</h1>Instantly restore %heal_amount% health."
    "DOTA_Tooltip_ability_item_wood_one_Lore"         "A poor excuse of wood for a poor excuse of a ship."

    "DOTA_Tooltip_ability_item_wood_two"            "Aged Repair Wood"
    "DOTA_Tooltip_ability_item_wood_two_Description"      "<h1>Active: Repair</h1>Instantly restore %heal_amount% health."
    "DOTA_Tooltip_ability_item_wood_two_Lore"         "Decent wood that will keep your ship afloat."
  
    "DOTA_Tooltip_ability_item_wood_three"            "Solid Repair Wood"
    "DOTA_Tooltip_ability_item_wood_three_Description"      "<h1>Active: Repair</h1>Instantly restore %heal_amount% health."
    "DOTA_Tooltip_ability_item_wood_three_Lore"         "A solid bunch of tinders hewn from a mighty oak."

    "DOTA_Tooltip_ability_item_wood_four"           "Craftsman's Repair Wood"
    "DOTA_Tooltip_ability_item_wood_four_Description"     "<h1>Active: Repair</h1>Instantly restore %heal_amount% health."
    "DOTA_Tooltip_ability_item_wood_four_Lore"          "This masterwork wood seems to magically replenish its stocks on its own."
    

    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0205---REPAIR CREWS-------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_repair_one"            "Novice Repair Crew"
    "DOTA_Tooltip_ability_item_repair_one_Description"      "<h1>Passive: Regeneration</h1>Restores %health_regen% plus an additional %bonus_regen%%% health per second."
    //"DOTA_Tooltip_ability_item_repair_one_health_regen"   "Health regen per second:"
    //"DOTA_Tooltip_ability_item_repair_one_bonus_regen"    "Percent health regen per second:"
    "DOTA_Tooltip_ability_item_repair_one_Note0"        "Does not stack with other repair crews."
    "DOTA_Tooltip_ability_item_repair_one_Lore"         "These lazy landlubbers will keep your ship floating… kinda."

    "DOTA_Tooltip_ability_item_repair_two"            "Journeyman Repair Crew"
    "DOTA_Tooltip_ability_item_repair_two_Description"      "<h1>Passive: Regeneration</h1>Restores %health_regen% plus an additional %bonus_regen%%% health per second."
    //"DOTA_Tooltip_ability_item_repair_two_health_regen"   "Health regen per second:"
    //"DOTA_Tooltip_ability_item_repair_two_bonus_regen"    "Percent health regen per second:"
    "DOTA_Tooltip_ability_item_repair_two_Note0"        "Does not stack with other repair crews."
    "DOTA_Tooltip_ability_item_repair_two_Lore"         "They aren't the best crew, but they won't leave you stranded on an island with nothing but a bottle of rum and your socks."

    "DOTA_Tooltip_ability_item_repair_three"          "Experienced Repair Crew"
    "DOTA_Tooltip_ability_item_repair_three_Description"    "<h1>Passive: Regeneration</h1>Restores %health_regen% plus an additional %bonus_regen%%% health per second."
    //"DOTA_Tooltip_ability_item_repair_three_health_regen"   "Health regen per second:"
    //"DOTA_Tooltip_ability_item_repair_three_bonus_regen"    "Percent health regen per second:"
    "DOTA_Tooltip_ability_item_repair_three_Note0"        "Does not stack with other repair crews."
    "DOTA_Tooltip_ability_item_repair_three_Lore"       "They've seen their fare share of battles, sure, and they can fix anything, any time."
    
    "DOTA_Tooltip_ability_item_repair_four"           "Advanced Repair Crew"
    "DOTA_Tooltip_ability_item_repair_four_Description"     "<h1>Passive: Regeneration</h1>Restores %health_regen% plus an additional %bonus_regen%%% health per second."
    //"DOTA_Tooltip_ability_item_repair_four_health_regen"    "Health regen per second:"
    //"DOTA_Tooltip_ability_item_repair_four_bonus_regen"   "Percent health regen per second:"
    "DOTA_Tooltip_ability_item_repair_four_Note0"       "Does not stack with other repair crews."
    "DOTA_Tooltip_ability_item_repair_four_Lore"        "Some say they'e cursed. Some say they're already dead. Whatever the reason, this crew doesn't seem to ever stop working."
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0208---DEBUG--------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_lorne"             "Radar"
    "DOTA_Tooltip_ability_item_lorne_Description"       "<h1>Test Mode</h1>yo… I made this map. If all players use their starting gold to buy this item it activates testing mode. You instantly reach max level and get <font color='gold'>80000</font> gold. Enjoy!"    
//=============================================
    //x03----AURA BAR DESCRIPTORS------------------
    //=============================================
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0301---POISON-------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_item_poison_bow_shooting"               "Poison I"
    "DOTA_Tooltip_item_poison_bow_shooting_Description"             ""
    
    "DOTA_Tooltip_item_poison_bow_shooting_doubled"           "Double Poison I"
    "DOTA_Tooltip_item_poison_bow_shooting_doubled_Description"     "Shots from this gun poison enemies, dealing damage over time."
    
    "DOTA_Tooltip_item_poison_two_bow_shooting"             "Poison II"
    "DOTA_Tooltip_item_poison_two_bow_shooting_Description"       ""
    
    "DOTA_Tooltip_item_poison_two_bow_shooting_doubled"         "Double Poison II"
    "DOTA_Tooltip_item_poison_two_bow_shooting_doubled_Description"   "Shots from this gun poison enemies, dealing damage over time."
    
    "DOTA_Tooltip_item_poison_three_bow_shooting"           "Poison III"
    "DOTA_Tooltip_item_poison_three_bow_shooting_Description"     ""
    
    "DOTA_Tooltip_item_poison_three_bow_shooting_doubled"       "Double Poison III"
    "DOTA_Tooltip_item_poison_three_bow_shooting_doubled_Description" "Shots from this gun poison enemies, dealing damage over time."
    
    "DOTA_Tooltip_item_poison_ult_bow_shooting"             "Jar O' Plagues"
    "DOTA_Tooltip_item_poison_ult_bow_shooting_Description"       "Shots from this gun poison enemies, dealing damage over time."
    
    "DOTA_Tooltip_item_poison_ult_bow_shooting_rec"           "Jar O' Plagues"
    "DOTA_Tooltip_item_poison_ult_bow_shooting_Description"       "Shots from this gun poison enemies, dealing damage over time."

    
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0302---FIRE---------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_item_fire_bow_shooting"               "Fire I"
    "DOTA_Tooltip_item_fire_bow_shooting_Description"         ""
    
    "DOTA_Tooltip_item_fire_bow_shooting_doubled"           "Double Fire I"
    "DOTA_Tooltip_item_fire_bow_shooting_doubled_Description"     "Burning all enemy ships in range."
    
    "DOTA_Tooltip_item_fire_two_bow_shooting"             "Fire II"
    "DOTA_Tooltip_item_fire_two_bow_shooting_Description"       ""
    
