"addon"
{

	"addon_game_name" 			"Battleships"
		
		"DOTA_Tooltip_item_chaos_two_bow_shooting_doubled"						"Double Chaos II"

		"DOTA_Tooltip_item_chaos_two_bow_shooting_doubled_Description"				"\n Level 2 Chaos Combo\n DAMAGE IS DELAYED \n DOES NOT HIT TOWERS \n  Range: 1200 \n  DPS: 125 \nDoubled: Half of the Big shots do 20% bonus dmg"
		
		"DOTA_Tooltip_item_chaos_three_bow_shooting"							"Chaos III"

		"DOTA_Tooltip_item_chaos_three_bow_shooting_Description"					"\n Level 3 breach \n Range: 850 \n Has Random fire rate from .2-1 second. Does bonus dmg on shots that take a full second. Dmg dealt scales with shot time to the dps shown.\n \n  DPS: 125 \nWhen doubled, Half of the Big shots do 20% bonus dmg"
		
		"DOTA_Tooltip_item_chaos_three_bow_shooting_doubled"					"Double Chaos III"

		"DOTA_Tooltip_item_chaos_three_bow_shooting_doubled_Description"			"\n Level 3 Chaos Combo \n Range: 850 \n Has Random fire rate from .2-1 second. Does bonus dmg on shots that take a full second. Dmg dealt scales with shot time to the dps shown.\n \n  DPS: 250 \nDoubled: Half of the Big shots do 20% bonus dmg"
		
		"DOTA_Tooltip_item_chaos_ult_bow_shooting"								"The 5th Horseman"

		"DOTA_Tooltip_item_chaos_ult_bow_shooting_Description"						"\n Ultimate breach\n Range: 850 \n Has Random fire rate from .2-1 second. Does bonus dmg on shots that take a full second. Dmg dealt scales with shot time to the dps shown.\n \n  DPS: 457 \n Bonus: Half of the Big shots do 20% bonus dmg"

		"DOTA_Tooltip_item_chaos_ult_bow_shooting_rec"							"The 5th Horseman"

		"DOTA_Tooltip_item_chaos_ult_bow_shooting_rec_Description"					"\n Ultimate Chaos \n Range: 850 \n Has Random fire rate from .2-1 second. Does bonus dmg on shots that take a full second. Dmg dealt scales with shot time to the dps shown.\n \n  DPS: 457 \n Bonus: Half of the Big shots do 20% bonus dmg"
		
		
				"DOTA_Tooltip_ability_item_chaos_bow"									"Chaos I"

		"DOTA_Tooltip_ability_item_chaos_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 1 Chaos  \n Range: 850 \n Has Random fire rate from .2-1 second. Does bonus dmg on shots that take a full second. Dmg dealt scales with shot time to the dps shown.\n \n  DPS: 29 \nWhen doubled, Half of the Big shots do 20% bonus dmg"
		
		"DOTA_Tooltip_ability_item_chaos_bow_doubled"							"Double Chaos I"

		"DOTA_Tooltip_ability_item_chaos_bow_doubled_Description"					"\n Level 1 Chaos Combo\n Range: 850 \n Has Random fire rate from .2-1 second. Does bonus dmg on shots that take a full second. Dmg dealt scales with shot time to the dps shown.\n \n  DPS: 58 \nDoubled: Half of the Big shots do 20% bonus dmg"
		
		"DOTA_Tooltip_ability_item_chaos_two_bow"								"Chaos II"

		"DOTA_Tooltip_ability_item_chaos_two_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 2 breach \n Range: 850 \n Has Random fire rate from .2-1 second. Does bonus dmg on shots that take a full second. Dmg dealt scales with shot time to the dps shown.\n \n  DPS: 63 \nWhen doubled, Half of the Big shots do 20% bonus dmg"
		
		"DOTA_Tooltip_ability_item_chaos_two_bow_doubled"						"Double Chaos II"

		"DOTA_Tooltip_ability_item_chaos_two_bow_doubled_Description"				"\n Level 2 Chaos Combo\n DAMAGE IS DELAYED \n DOES NOT HIT TOWERS \n  Range: 1200 \n  DPS: 125 \nDoubled: Half of the Big shots do 20% bonus dmg"
		
		"DOTA_Tooltip_ability_item_chaos_three_bow"							"Chaos III"

		"DOTA_Tooltip_ability_item_chaos_three_bow_Description"        				"Buy 2x to collapse to one slot 
\n Level 3 breach \n Range: 850 \n Has Random fire rate from .2-1 second. Does bonus dmg on shots that take a full second. Dmg dealt scales with shot time to the dps shown.\n \n  DPS: 125 \nWhen doubled, Half of the Big shots do 20% bonus dmg"
		
		"DOTA_Tooltip_ability_item_chaos_three_bow_doubled"					"Double Chaos III"

		"DOTA_Tooltip_ability_item_chaos_three_bow_doubled_Description"			"\n Level 3 Chaos Combo \n Range: 850 \n Has Random fire rate from .2-1 second. Does bonus dmg on shots that take a full second. Dmg dealt scales with shot time to the dps shown.\n \n  DPS: 250 \nDoubled: Half of the Big shots do 20% bonus dmg"
		
		"DOTA_Tooltip_ability_item_chaos_ult_bow"								"The 5th Horsemen"

		"DOTA_Tooltip_ability_item_chaos_ult_bow_Description"        				" 
\n Ultimate breach\n Range: 850 \n Has Random fire rate from .2-1 second. Does bonus dmg on shots that take a full second. Dmg dealt scales with shot time to the dps shown.\n \n  DPS: 457 \n Bonus: Half of the Big shots do 20% bonus dmg"

		"DOTA_Tooltip_ability_item_chaos_ult_bow_rec"							"The 5th Horsemen"

		"DOTA_Tooltip_ability_item_chaos_ult_bow_rec_Description"					"\n Ultimate Chaos \n Range: 850 \n Has Random fire rate from .2-1 second. Does bonus dmg on shots that take a full second. Dmg dealt scales with shot time to the dps shown.\n \n  DPS: 457 \n Bonus: Half of the Big shots do 20% bonus dmg"
		
		
				"DOTA_Tooltip_ability_item_chaos_bow_fire_rate"							"Min Reload Delay(S):"
		"DOTA_Tooltip_ability_item_chaos_bow_doubled_fire_rate"							"Min Reload Delay(S):"
		"DOTA_Tooltip_ability_item_chaos_bow_doubled_dmg"									"Damage(x2):"
		
		
		"DOTA_Tooltip_ability_item_chaos_two_bow_fire_rate"							"Min Reload Delay(S):"
		"DOTA_Tooltip_ability_item_chaos_two_bow_doubled_delay"									"Damage Delay:"
		"DOTA_Tooltip_ability_item_chaos_two_bow_doubled_fire_rate"							"Min Reload Delay(S):"
		"DOTA_Tooltip_ability_item_chaos_three_bow_fire_rate"							"Min Reload Delay(S):"
		"DOTA_Tooltip_ability_item_chaos_three_bow_doubled_fire_rate"							"Min Reload Delay(S):"
		"DOTA_Tooltip_ability_item_chaos_ult_bow_fire_rate"							"Min Reload Delay(S):"
		"DOTA_Tooltip_ability_item_chaos_ult_bow_rec_fire_rate"							"Min Reload Delay(S):"
		
		
		
		
		
		
		
		"DOTA_Tooltip_ability_item_fluff_flag1"				"1,000 Gold Ships"
		"DOTA_Tooltip_ability_item_fluff_flag1_Description"				"These are the 1,000 gold ships. This item does nothing."
		
		"DOTA_Tooltip_ability_item_fluff_flag2"				"3,000 Gold Ships"
		"DOTA_Tooltip_ability_item_fluff_flag2_Description"				"These are the 3,000 gold ships. This item does nothing."
		
		"DOTA_Tooltip_ability_item_fluff_flag3"				"6,000 Gold Ships"
		"DOTA_Tooltip_ability_item_fluff_flag3_Description"				"These are the 6,000 gold ships. This item does nothing."
		
		
		"DOTA_Tooltip_ability_item_fluff_flag4"				"10,000 Gold Ships"
		"DOTA_Tooltip_ability_item_fluff_flag4_Description"				"These are the 10,000 gold ships. This item does nothing."
		
				"DOTA_Tooltip_ability_item_fluff1"	"Ignore this item"
		"DOTA_Tooltip_ability_item_fluff1_Description"				"This item does nothing. it is not a boat upgrade it exists sot hat you can buy a boat even if your inventory is full.  you do not want it"
		
			"DOTA_Tooltip_ability_item_fluff2"	"Ignore this item"
		"DOTA_Tooltip_ability_item_fluff2_Description"				"This item does nothing. it is not a boat upgrade it exists sot hat you can buy a boat even if your inventory is full.  you do not want it"
		
		
		
		//Boats
		
		"DOTA_Tooltip_ability_item_puck_replacement_boat"                 	"Paddlewheel Diver"

		"DOTA_Tooltip_ability_item_puck_replacement_boat_Description"       "A simple, maneuverable ship that can dive beneath attacks.
		\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Dive: Momentarily dive underwater, avoiding any incoming projectile, and losing vision of your surroundings 
Reckless Speed: Vastly increases movement speed, but decreases manueverability
Batten Down the Hatches: Strengthens the structural integrity of your vessel to provide an armor bonus and health regen bonus "
		"DOTA_Tooltip_ability_item_puck_replacement_boat_Lore"         		"Hey baby, what's your sign?" 
		
		
		"DOTA_Tooltip_ability_item_morphling_replacement_boat"                 	"Speed Boat"
		
		"DOTA_Tooltip_ability_item_morphling_replacement_boat_Description"         "Speed in and out of combat using dynamic movement and regeneration.
		\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Big Wake: Rev your engine for a short burst, thrust forward, and splash enemies with a powerful wake. 
Overcharge: Overcharge your engine, increasing acceleration at the cost of health. Damage continues until the engine cools off. 
Swim Break: Quickly heals your ship as long as you do not take damage and remain still. Any damage taken will leave you stranded in the water, stunned for 3 seconds. "
		
		"DOTA_Tooltip_ability_item_morphling_replacement_boat_Lore"                "Fast..."
		
		"DOTA_Tooltip_ability_item_storm_spirit_replacement_boat"                 	"Junk Ship"
		
		"DOTA_Tooltip_ability_item_storm_spirit_replacement_boat_Description"         "Use fireworks and call upon thunderclouds to reveal your enemies and strike them down.
		\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Cloud Dragon: Flying a red flag is said to bring the favor of the dragon who lives in the clouds. Mark his target and he will attack ships near his target for a time.
Firework Flare: Launch fireworks over an area to give vision of it for a short time.
Compass disruption: The Junk ship is equipped with a superior compass. Activate the compass disruption, and all enemy ships in the area will be forced to face away from you for a moment. "
		
		"DOTA_Tooltip_ability_item_storm_spirit_replacement_boat_Lore"                "Enjoy the breeze upon the deck of the Autumn's Wind."
		
		"DOTA_Tooltip_ability_item_kunkka_replacement_boat"                 	"Shore Guard"

		"DOTA_Tooltip_ability_item_kunkka_replacement_boat_Description"         "Enforce the law on the High Seas and control the movement of vessels in your domain.
		\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Restricted Area: Designate an area as restricted. Any enemies remaining in the restricted area units are launched upward on a torrent of water after a short delay, dealing damage and slowing them.
Stop Right There: After a short delay, recalls target unit to the its initial position from when the spell was cast.
Toss Repossessed Vessel: Summon a repossessed ship which charges at a large area and stuns. Any ally it passes through receives a brief movement bonus, and reduced damage taken. "
		
		"DOTA_Tooltip_ability_item_kunkka_replacement_boat_Lore"                "It doesn't guard the coast, though."
		
		"DOTA_Tooltip_ability_item_tidehunter_replacement_boat"                 	"Pontoon Boat"

		"DOTA_Tooltip_ability_item_tidehunter_replacement_boat_Description"         "A sturdy boat that can hold its ground with defensive abilities.
				\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Head Above Water: Focus the crews' efforts on defence, completely eliminating movement and casting in exchange for a massive armor bonus. 
Net: Immobilize enemies in an area for a short time.
Batten Down the Hatches: Strengthens the structural integrity of your vessel to provide an armor bonus and health regen bonus "
		
		
		"DOTA_Tooltip_ability_item_tidehunter_replacement_boat_Lore"                "Makin' waves and catchin' rays up on the roof!"
		
		"DOTA_Tooltip_ability_item_brewmaster_replacement_boat"                 	"House Boat"

		"DOTA_Tooltip_ability_item_brewmaster_replacement_boat_Description"         "The party boat; fun to be around and the life of any party!
				\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Disco Ship: Grants allies pulsing vision of the surrounding area, and allows all enemy ships to see you. Gain an armor bonus because no one can touch you while you boogie.
Fun: You are fun to be around, granting nearby allies bonus movement and regeneration. 
Join the party: Teleport to target friend or foe and join the battle!"

		
		"DOTA_Tooltip_ability_item_brewmaster_replacement_boat_Lore"                "Echoes of past parties indicate that streetfighter87 sailed this boat before medical school broke his gaming spirit."
		
		"DOTA_Tooltip_ability_item_jakiro_replacement_boat"                 	"Galleon"
		
		"DOTA_Tooltip_ability_item_jakiro_replacement_boat_Description"         "Dominate the seas with devastating ranged attacks.
				\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Fire Mortars: Rain mortars down on target area, dealing damage and providing vision. 
Flare: Fire a flare that homes in on a random enemy hero granting vision as it flies.
Long Nines: Stop your ship to fire a powerful cannon at long range."
		
		"DOTA_Tooltip_ability_item_jakiro_replacement_boat_Lore"                "In Canada, they call this boat the 3.785 Liteer."
		
		"DOTA_Tooltip_ability_item_zuus_replacement_boat"                 	"Tug Boat"
		
		"DOTA_Tooltip_ability_item_zuus_replacement_boat_Description"         "Charge headlong into combat. Snag foes and drag them to their doom.	
		\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Grab: Shoots out a line and pulls in the first ship it hits.
Shove: Stuns a unit and pushes it away from the tugboat.
Tug: Snag an enemy unit and pull them along with you while dealing damage."
		
		
		"DOTA_Tooltip_ability_item_zuus_replacement_boat_Lore"                "Drix be all 'TugBoat WEOW'"
		
		"DOTA_Tooltip_ability_item_gyrocopter_replacement_boat"                 	"Aircraft Carrier"

		"DOTA_Tooltip_ability_item_gyrocopter_replacement_boat_Description"         "Strong tanky ship that dispatches fighters and bombers.
				\nAbilities:
Deploy Turret: Deploy Turret that deals 500 dmg per attack in a very short range
Launch Bomber: Launch a powerful bomber loaded with a payload that damages all units and buildings in a line away from and then back to it's launch site.
To The Skies: Launch five fighter jets! Command them to attack your enemies
Over and Out: The aircraft carrier shoots forward even over terrain grabbs any units encountered and pulls them back out to where it started. (pulled units cannot move over terrain)"
		
		"DOTA_Tooltip_ability_item_gyrocopter_replacement_boat_Lore"                "The strongest Air Force in the world is the U.S. Air Force. The second strongest is the U.S. Navy."
		
		"DOTA_Tooltip_ability_item_magnus_replacement_boat"                 	"Viking Warship"

		"DOTA_Tooltip_ability_item_magnus_replacement_boat_Description"         "Scour the fjords in this quick, heavy-hitting berserker. Neither you nor your enemies will last long.
		\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Into the Fray: Charge to the target at increasing your speed along with your excitement for the upcoming battle. Upon reaching the target, they will be stunned for a brief duration.
Pillage: Target an enemy building to reduce its armor; the Vikings aboard your ship will attack it, dealing damage while the skill is active.
Visions of Valhalla: Valhalla awaits! Activate to deal damage to all nearby boats (friend, foe, and yourself) after five seconds."
		
		
		"DOTA_Tooltip_ability_item_magnus_replacement_boat_Lore"                "I wasn't allowed to put anything funny here."
		
		"DOTA_Tooltip_ability_item_lion_replacement_boat"                 	"Yacht"
		
		"DOTA_Tooltip_ability_item_lion_replacement_boat_Description"         "Light and fast, this ship can drop a small pleasure craft to absorb extra damage.
				\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
The Ultimate Tan: Soak up the sun! Channel UV radiation around you, causing damage to enemy ships and healing you.
Keeping up with the Joneses: Link yourself to a unit.  Every second, for the duration of this link, your and your targets hit point percentages will be moved toward their average by 2 percent.
Deploy Pleasure Cruiser: Drop a small, controllable pleasure cruiser to scout and soak up damage."
		
		"DOTA_Tooltip_ability_item_lion_replacement_boat_Lore"                "We couldn't afford the flavor text for this boat... "
		
		"DOTA_Tooltip_ability_item_spectre_replacement_boat"                 	"Battleship"
		
		"DOTA_Tooltip_ability_item_spectre_replacement_boat_Description"         "Solid fighting vessel with missiles and powerful AOE nukes.
		\nAbilities:
Cheat: Short distance teleportation that allows battleship to shift around the bord.
Miss: G-7. Grants armor to you and nearby allies.
Hack their system!: Disables the use of abilities on all units in the target area and deals damage over time to them. 
Hit: Fire a long ranged nuclear strike followed by a less powerful aftershock."
		
		
		
		"DOTA_Tooltip_ability_item_spectre_replacement_boat_Lore"                "Maybe a boat, maybe a piece from a classic board game."
		
		"DOTA_Tooltip_ability_item_visage_replacement_boat"                 	"Noah's Ark"
		
		"DOTA_Tooltip_ability_item_visage_replacement_boat_Description"         "Survive the flood in this ancient vessel and strand your enemies on the mountaintops.
		\nAbilities:
Monkey Buisness: Your monkeys jump to a nearby enemy ship, do as much damage as they can, then escape to an allied ship.  Monkeys continue until they have no where to jump, alternating between allies and enemies.
Two by Two: Creates a duplicate of your ship, weapons included, that takes increased damage from foes.
Rainbow to End the Storm: Upon your death, heroes around you are healed substantially.
Stuck on a Mountain: End the flood. Immobilizes you and all units around you in a large radius. "
		
		"DOTA_Tooltip_ability_item_visage_replacement_boat_Lore"                "Something about unicorns."
		
		"DOTA_Tooltip_ability_item_nevermore_replacement_boat"                 	"Broken Sea Plane"
		
		"DOTA_Tooltip_ability_item_nevermore_replacement_boat_Description"         "Navigate the seas in this pontooned and marooned plane; it's more nimble than you'd imagine. Watch what happens when you try to turn on your engines!
				\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Short Flight: Attempt to take off, and fly for a short time. Spews flaming oil that damages enemies. If your flight ends on land, you will crash and die
It's a Ruse: Select a target and after 2 seconds deal a percentage of damage that was done to you since casting to that target while healing for the same amount. breaks on death.
Mayday: The control tower knows where you are. They'll send you care packages to keep you alive at sea."
		
		"DOTA_Tooltip_ability_item_nevermore_replacement_boat_Lore"       	"This boat actually works. Don't worry. It's not a ruse."
		
		"DOTA_Tooltip_ability_item_rubick_replacement_boat"                 	"Catamaran"
		
		"DOTA_Tooltip_ability_item_rubick_replacement_boat_Description"         "Light and fast, the Catamaran jumps out of reach and fires a deadly arrow.
						\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Steady Shot: The Catamaran's pontoons steady it on the open ocean. After channeling, release a long-range arrow that does damage to each target it passes through. Damage diminishes as it passes through each target. Steady Shot can be fired early for reduced damage. 
Gusted: Tilt your sails to take advantage of the wind! The Catamaran will leap in the direction it is facing, airborn for a moment. Nearby allies receive a small movement speed bonus
Batten Down the Hatches: Strengthens the structural integrity of your vessel to provide an armor bonus and health regen bonus "
		
		"DOTA_Tooltip_ability_item_rubick_replacement_boat_Lore"       			"Catamaran is an anagram of gullible."
		
		"DOTA_Tooltip_ability_item_shredder_replacement_boat"                 	"Submarine"
		
		"DOTA_Tooltip_ability_item_shredder_replacement_boat_Description"         "This submarine is less of a submarine and more of a boat.  the sub is powerful and even more powerful when submerged but has a hull breach and must surface or have its crew drown
								\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Bilging: Fire a blast of water at an enemy ship dealing damage, de-armoring, and slowing for a short time 
Sonar Ping: Ping the map to see where enemy ships are.
Submerge: Dive into the comforting embrace of the sea! Let the water shield you from harm, granting you an armor bonus. Let it obscure your form, granting you evasion. Fully submerge your propeller, granting you a move speed bonus. \n\nAlas, you need to breathe keep an eye on your air (mana) or you may start to drown.  Quickly... "
		
		"DOTA_Tooltip_ability_item_shredder_replacement_boat_Lore"       			"Because you wouldn't want to sail the high seas in a Hoagie."
		
		"DOTA_Tooltip_ability_item_treant_replacement_boat"                 	"Construction Ship"
		
		"DOTA_Tooltip_ability_item_treant_replacement_boat_Description"         "The construction ship is a floating dock, capable of using the scrap around it to repair itself, protect its allies and even construct ships for the empire.
		\nAbilities:
Construct a Ship for the Empire: Build an empire ship and carry it in your hold while constructing it and shielding it.  this ship will divide fire. 
Scrap Armor: Creates junk armor around an ally unit, forming a shield that absorbs a set amount of damage before expiring. When the shield is destroyed it will burst and deal damage equal to the amount it could absorb to an area around it. Removes certain types of negative buffs and stuns on cast.
Salvage: Utilize the wreckage around you. Each ship you kill heals your ship for a percentage of the total health of the killed ship.
Hoist: CHANNELED - Binds an enemy unit so that it cannot move or attack, while dealing damage over time." 
		
		"DOTA_Tooltip_ability_item_treant_replacement_boat_Lore"       			"Yo dawg, I heard you like ships, so we put a ship in yo ship so you can sail while you sail."
		
		"DOTA_Tooltip_ability_item_crystal_maiden_replacement_boat"                 	"Canoe"
		
		"DOTA_Tooltip_ability_item_crystal_maiden_replacement_boat_Description"         "The Canoe is a very simple boat whose crew gains heart from one another and inspires their allies.
			\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
War Drums: The Canoe's crew beats their drums in a hypnotic rhythm to increase their rower's speed as well as the speed of the ships around them.
Might of the Tribe: The Canoe gains strength from nearby allies, increasing its maximum health and regeneration for a short time. releases any stored energy as damage and a ministun when recollecting.
Batten Down the Hatches: Strengthens the structural integrity of your vessel to provide an armor bonus and health regen bonus "
		
		
		"DOTA_Tooltip_ability_item_crystal_maiden_replacement_boat_Lore"       			"Still paddling the old knew, all my love Turkey Lips"
		
		"DOTA_Tooltip_ability_item_phantom_lancer_replacement_boat"                 	"Airboat"
		
		"DOTA_Tooltip_ability_item_phantom_lancer_replacement_boat_Description"         "The Airboat it a fast and sturdy ship with some dangerous damage abilities.
			\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Swamp Gas: Shoot some swamp gas into their ship to slowly eat away at their hull for a while.
Fan Blast: Let the fan blade fly from your ship damaging and slowing pursuing opponents.
Batten Down the Hatches: Strengthens the structural integrity of your vessel to provide an armor bonus and health regen bonus "
		
		"DOTA_Tooltip_ability_item_phantom_lancer_replacement_boat_Lore"       			"Are you sure there were no airboats in Gator?"
		

		"DOTA_Tooltip_ability_item_wisp_replacement_boat"                 	"Ice Breaker"
		
		"DOTA_Tooltip_ability_item_wisp_replacement_boat_Description"         "The Ice Breaker survives the cold better than any other ship and brings with it all the power of frost.
					\nAbilities:
Ice Path: Creates a path of ice that stuns and damages enemies that touch it.
Iceberg: Hide an iceberg (invisible to enemy team). The first enemy ship to run into it will take considerable damage.
Icy Waters: All nearby Enemy ships are slowed.
Freezing Field: Summons forth the frozen north and all it's random icy explosions that slow enemies and deal massive damage."

		
		
		"DOTA_Tooltip_ability_item_wisp_replacement_boat_Lore"       			"How much does a Polar bear weigh?... Enough to break the ice! (not the best pick-up line)"
		
		
		"DOTA_Tooltip_pergatory_3"					"Purgatory"

		"DOTA_Tooltip_pergatory_3_Description"			"4 second delay on actions because you are high level. You may shop during this time."
		
		"DOTA_Tooltip_pergatory_6"					"Purgatory"

		"DOTA_Tooltip_pergatory_6_Description"			"8 second delay on actions because you are high level. You may shop during this time."
		
		"DOTA_Tooltip_pergatory_9"					"Purgatory"

		"DOTA_Tooltip_pergatory_9_Description"			"12 second delay on actions because you are high level. You may shop during this time."
		
		"DOTA_Tooltip_pergatory_12"					"Purgatory"

		"DOTA_Tooltip_pergatory_12_Description"			"16 second delay on actions because you are high level. You may shop during this time."
		
		
		
		//UNITS
		"npc_dota_hero_ember_spirit"												"Tug Boat"
		"npc_dota_hero_ancient_apparition"												"Paddlewheel Diver"
		"npc_dota_hero_disruptor"												"Shore Guard"
		"npc_dota_hero_winter_wyvern"											"Speed Boat"
		"npc_dota_hero_storm_spirit"											"Junk Ship"
		"npc_dota_hero_jakiro"												"Galleon"
		"npc_dota_hero_tidehunter"											"Pontoon Boat"
		"npc_dota_hero_meepo"											"House Boat"
		"npc_dota_hero_zuus"										"Barrel"
		"npc_dota_hero_ursa"										"Aircraft Carrier"
		"npc_dota_hero_slark"										"Viking Warship"
		"npc_dota_hero_lion"										"Yacht"
		"npc_dota_hero_tusk"										"Battleship"
		"npc_dota_hero_visage"										"Noah's Ark"
		"npc_dota_hero_nevermore"										"Broken Sea Plane"
		"npc_dota_hero_rattletrap"										"Catamaran"
		"npc_dota_hero_windrunner"										"Construction Ship"
		"npc_dota_hero_sniper"										"Submarine"
		"npc_dota_hero_crystal_maiden"										"Canoe"
		"npc_dota_hero_phantom_lancer"										"Airboat"
		"npc_dota_hero_pugna"										"Ice Breaker"
		"npc_dota_hero_vengefulspirit"											"Phoenician Trader"
			"npc_dota_hero_bane"							"Cargo Ship"
					"npc_dota_hero_enigma"							"Ghost Trader"
		"npc_dota_hero_spirit_breaker" "Tidehunter"
		
		"npc_dota_boat_south_one"									"Small South Boat"
		"npc_dota_boat_south_two" 									"Medium South Boat"
		"npc_dota_boat_south_three"									"Large South Boat"
		"npc_dota_boat_south_four"									"Privateer"
		"npc_dota_boat_north_one"									"Small North Boat"
		"coast_oneshot"													"Shore Guard Aigent"
		"npc_dota_boat_north_two"									"Medium North Boat"
		"npc_dota_boat_north_three"									"Large North Boat"
		"npc_dota_boat_north_four"									"Privateer"
		"npc_dota_dock_south_left"									"Harbor"
		"npc_dota_dock_south_right"									"Harbor"
		"npc_dota_dock_north_left"									"Harbor"
		"npc_dota_dock_north_right"									"Harbor"
			
		"npc_dota_north_repair"									"Repair Bay"
		"npc_dota_south_repair"									"Repair Bay"
		"npc_dota_north_base"									"Temple of Demons"
		"npc_dota_south_base"									"Kunkka's Palace"
		
		"npc_dota_air_craft"									"Fighter Jet"
		"npc_dota_air_craft_bomber"									"Bomber"
		"npc_dota_boat_pleasure_craft"									"Pleasure Craft"
		
		"npc_dota_tower_south_weaker"											"Tower"
		"npc_dota_tower_north_weaker"											"Tower"
		"npc_dota_tower_north_stronger"											"Harbor Tower"
		"npc_dota_tower_south_stronger"											"Harbor Tower"	
		
		"npc_dota_creature_cop"												"Officer Chelle"
		"npc_dota_creature_tidehunter"										"Tide Hunter"	
		

		//ABILITIES
		"DOTA_Tooltip_Ability_pistols_battleship"							"Pistols"
		"DOTA_Tooltip_ability_pistols_battleship_Description"				"Your crew fires pistols rapidly at random targets within 600 range. \n\nHigher levels increase damage"
		"DOTA_Tooltip_ability_pistols_battleship_pistol_duration"			"DURATION:"
		"DOTA_Tooltip_ability_pistols_battleship_pistol_base_dmg"			"BASE DAMAGE:"
		"DOTA_Tooltip_ability_pistols_battleship_pistol_hp_dmg"			"PERCENTAGE MAX HP AS DAMAGE:"
		"DOTA_Tooltip_ability_pistols_battleship_pistol_tooltip_range"			"RANGE:"
		
		"DOTA_Tooltip_Ability_bail_water"								"Bail Water"
		"DOTA_Tooltip_ability_bail_water_Description"					"Your crew works a little harder to keep the vessel afloat, temporarily increasing movement speed. \n\nHigher levels increase speed bonus."
		"DOTA_Tooltip_ability_bail_water_bail_duration"			"DURATION:"
		"DOTA_Tooltip_ability_bail_water_bail_bonus_move_speed"			"MOVE SPEED:"
		
		
		"DOTA_Tooltip_Ability_tighten_hoop"								"Tighten Hoops"
		"DOTA_Tooltip_ability_tighten_hoop_Description"					"Strengthens the structural integrity of your vessel to provide an armor bonus and health regen bonus. \n\nHigher levels increase armor and regen bonuses."
		"DOTA_Tooltip_Ability_tighten_hoop_hoop_bonus_armor"			"ARMOR:"
		"DOTA_Tooltip_ability_tighten_hoop_health_regen"				"HEALTH REGEN:"
		
		"DOTA_Tooltip_Ability_kunkka_torrent_bships"								"Restricted Area"
		"DOTA_Tooltip_ability_kunkka_torrent_bships_Description"					"Designate an area as restricted. Any enemies remaining in the restricted area units are launched upward on a torrent of water after a short delay, dealing damage, slowing them and applying a mini stun.  \n\n"
		"DOTA_Tooltip_ability_kunkka_torrent_bships_slow_duration"			"SLOW DURATION:"
		"DOTA_Tooltip_ability_kunkka_torrent_bships_stun_duration"				"STUN:"
		"DOTA_Tooltip_ability_kunkka_torrent_bships_delay"				"DELAY:"
		
		"DOTA_Tooltip_Ability_kunkka_x_marks_the_spot_bships"								"Stop Right There!"
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_bships_Description"					"After a short delay, recalls target unit to the its initial position from when the spell was cast.\n\nHigher levels decrease cooldown."
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_bships_duration"			"DURATION:"
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_bships_tooltip_range"				"RANGE:"
		"DOTA_Tooltip_ability_kunkka_x_marks_the_spot_bships_allied_duration_tooltip"				"ALLY DURATION:"
		
		"DOTA_Tooltip_Ability_kunkka_ghostship_bships"								"Toss Repossessed Vessel"
		"DOTA_Tooltip_ability_kunkka_ghostship_bships_Description"					"Summon a repossessed ship which charges at a large area and stuns. n\nHigher levels increases damage and stun duration."
		"DOTA_Tooltip_ability_kunkka_ghostship_bships_ghostship_width"			"SHIP WIDTH:"
		"DOTA_Tooltip_ability_kunkka_ghostship_bships_ghostship_distance"				"RANGE:"
		"DOTA_Tooltip_ability_kunkka_ghostship_bships_stun_duration"				"STUN:"
		"DOTA_Tooltip_ability_kunkka_ghostship_bships_stun_ghostship_speed"				"SHIP SPEED:"
		"DOTA_Tooltip_ability_kunkka_ghostship_bships_stun_movespeed_bonus"				"MOVEMENT SPEED BONUS:"
		
		
		"DOTA_Tooltip_Ability_discoship_battleship"								"Disco Ship!"
